round,agent_i,agent_j,nll,n_prompts,n_tokens
0,clone-0,clone-0,2.078269,64,5259
0,clone-0,clone-1,2.545640,64,4449
0,clone-0,clone-2,2.361269,64,4450
0,clone-0,clone-3,1.990050,64,5017
0,clone-1,clone-0,2.105261,64,5259
0,clone-1,clone-1,2.310598,64,4449
0,clone-1,clone-2,2.209404,64,4450
0,clone-1,clone-3,1.967606,64,5017
0,clone-2,clone-0,2.136357,64,5259
0,clone-2,clone-1,2.480091,64,4449
0,clone-2,clone-2,2.242463,64,4450
0,clone-2,clone-3,1.990340,64,5017
0,clone-3,clone-0,2.139508,64,5259
0,clone-3,clone-1,2.560073,64,4449
0,clone-3,clone-2,2.371826,64,4450
0,clone-3,clone-3,1.934951,64,5017
9,clone-0,clone-0,1.614461,64,5203
9,clone-0,clone-1,2.027622,64,4880
9,clone-0,clone-2,2.001255,64,5575
9,clone-0,clone-3,1.954746,64,4862
9,clone-1,clone-0,1.961606,64,5203
9,clone-1,clone-1,1.639524,64,4880
9,clone-1,clone-2,1.846133,64,5575
9,clone-1,clone-3,2.034020,64,4862
9,clone-2,clone-0,1.969659,64,5203
9,clone-2,clone-1,1.878245,64,4880
9,clone-2,clone-2,1.629378,64,5575
9,clone-2,clone-3,2.047083,64,4862
9,clone-3,clone-0,1.870379,64,5203
9,clone-3,clone-1,2.050952,64,4880
9,clone-3,clone-2,2.022270,64,5575
9,clone-3,clone-3,1.728052,64,4862
19,clone-0,clone-0,1.477777,64,5023
19,clone-0,clone-1,1.924052,64,4791
19,clone-0,clone-2,2.031656,64,4737
19,clone-0,clone-3,1.820711,64,4869
19,clone-1,clone-0,1.915109,64,5023
19,clone-1,clone-1,1.415876,64,4791
19,clone-1,clone-2,1.805112,64,4737
19,clone-1,clone-3,1.962427,64,4869
19,clone-2,clone-0,1.901063,64,5023
19,clone-2,clone-1,1.737408,64,4791
19,clone-2,clone-2,1.534065,64,4737
19,clone-2,clone-3,1.950825,64,4869
19,clone-3,clone-0,1.852229,64,5023
19,clone-3,clone-1,1.923704,64,4791
19,clone-3,clone-2,2.015843,64,4737
19,clone-3,clone-3,1.505928,64,4869
29,clone-0,clone-0,1.490034,64,5506
29,clone-0,clone-1,1.855170,64,5076
29,clone-0,clone-2,2.103341,64,4712
29,clone-0,clone-3,1.846225,64,4963
29,clone-1,clone-0,1.982428,64,5506
29,clone-1,clone-1,1.335422,64,5076
29,clone-1,clone-2,1.800398,64,4712
29,clone-1,clone-3,2.048889,64,4963
29,clone-2,clone-0,1.963619,64,5506
29,clone-2,clone-1,1.644938,64,5076
29,clone-2,clone-2,1.518728,64,4712
29,clone-2,clone-3,2.053161,64,4963
29,clone-3,clone-0,1.757909,64,5506
29,clone-3,clone-1,1.860002,64,5076
29,clone-3,clone-2,2.081702,64,4712
29,clone-3,clone-3,1.518951,64,4963
39,clone-0,clone-0,1.329636,64,5019
39,clone-0,clone-1,1.922403,64,5276
39,clone-0,clone-2,1.869596,64,4791
39,clone-0,clone-3,1.728635,64,4579
39,clone-1,clone-0,1.967776,64,5019
39,clone-1,clone-1,1.243329,64,5276
39,clone-1,clone-2,1.634460,64,4791
39,clone-1,clone-3,1.878208,64,4579
39,clone-2,clone-0,1.971624,64,5019
39,clone-2,clone-1,1.662952,64,5276
39,clone-2,clone-2,1.334149,64,4791
39,clone-2,clone-3,1.874073,64,4579
39,clone-3,clone-0,1.747886,64,5019
39,clone-3,clone-1,1.923086,64,5276
39,clone-3,clone-2,1.868426,64,4791
39,clone-3,clone-3,1.319681,64,4579
