round,agent_i,agent_j,nll,n_prompts,n_tokens
0,clone-0,clone-0,2.146615,64,5122
0,clone-0,clone-1,2.328342,64,5472
0,clone-0,clone-2,2.343181,64,5729
0,clone-0,clone-3,2.100769,64,5181
0,clone-1,clone-0,2.183918,64,5122
0,clone-1,clone-1,2.112049,64,5472
0,clone-1,clone-2,2.196259,64,5729
0,clone-1,clone-3,2.085803,64,5181
0,clone-2,clone-0,2.192250,64,5122
0,clone-2,clone-1,2.195750,64,5472
0,clone-2,clone-2,2.134599,64,5729
0,clone-2,clone-3,2.083394,64,5181
0,clone-3,clone-0,2.214171,64,5122
0,clone-3,clone-1,2.322449,64,5472
0,clone-3,clone-2,2.335782,64,5729
0,clone-3,clone-3,2.031876,64,5181
9,clone-0,clone-0,1.644346,64,5315
9,clone-0,clone-1,1.971930,64,5297
9,clone-0,clone-2,2.083766,64,5007
9,clone-0,clone-3,1.926061,64,5057
9,clone-1,clone-0,1.958841,64,5315
9,clone-1,clone-1,1.581967,64,5297
9,clone-1,clone-2,1.900289,64,5007
9,clone-1,clone-3,2.022965,64,5057
9,clone-2,clone-0,1.943498,64,5315
9,clone-2,clone-1,1.824384,64,5297
9,clone-2,clone-2,1.626351,64,5007
9,clone-2,clone-3,2.016511,64,5057
9,clone-3,clone-0,1.900124,64,5315
9,clone-3,clone-1,1.980802,64,5297
9,clone-3,clone-2,2.072138,64,5007
9,clone-3,clone-3,1.693781,64,5057
19,clone-0,clone-0,1.490517,64,5570
19,clone-0,clone-1,1.979668,64,4996
19,clone-0,clone-2,1.930321,64,5198
19,clone-0,clone-3,1.766208,64,5190
19,clone-1,clone-0,1.877054,64,5570
19,clone-1,clone-1,1.499767,64,4996
19,clone-1,clone-2,1.722050,64,5198
19,clone-1,clone-3,1.917870,64,5190
19,clone-2,clone-0,1.865982,64,5570
19,clone-2,clone-1,1.767350,64,4996
19,clone-2,clone-2,1.487187,64,5198
19,clone-2,clone-3,1.900273,64,5190
19,clone-3,clone-0,1.802947,64,5570
19,clone-3,clone-1,1.990865,64,4996
19,clone-3,clone-2,1.959077,64,5198
19,clone-3,clone-3,1.522675,64,5190
29,clone-0,clone-0,1.386459,64,5324
29,clone-0,clone-1,1.812988,64,5810
29,clone-0,clone-2,1.944665,64,4857
29,clone-0,clone-3,1.765672,64,5314
29,clone-1,clone-0,1.902928,64,5324
29,clone-1,clone-1,1.265044,64,5810
29,clone-1,clone-2,1.692970,64,4857
29,clone-1,clone-3,1.939905,64,5314
29,clone-2,clone-0,1.913451,64,5324
29,clone-2,clone-1,1.490115,64,5810
29,clone-2,clone-2,1.378051,64,4857
29,clone-2,clone-3,1.966703,64,5314
29,clone-3,clone-0,1.790869,64,5324
29,clone-3,clone-1,1.797710,64,5810
29,clone-3,clone-2,1.902401,64,4857
29,clone-3,clone-3,1.448043,64,5314
39,clone-0,clone-0,1.335906,64,4793
39,clone-0,clone-1,1.928265,64,5048
39,clone-0,clone-2,1.868003,64,5171
39,clone-0,clone-3,1.766693,64,5205
39,clone-1,clone-0,1.940769,64,4793
39,clone-1,clone-1,1.347887,64,5048
39,clone-1,clone-2,1.647888,64,5171
39,clone-1,clone-3,1.969849,64,5205
39,clone-2,clone-0,1.915626,64,4793
39,clone-2,clone-1,1.668642,64,5048
39,clone-2,clone-2,1.355420,64,5171
39,clone-2,clone-3,1.992924,64,5205
39,clone-3,clone-0,1.662937,64,4793
39,clone-3,clone-1,1.900800,64,5048
39,clone-3,clone-2,1.849291,64,5171
39,clone-3,clone-3,1.425564,64,5205
