round,agent_i,agent_j,nll,n_prompts,n_tokens
9,clone-0,clone-0,1.821829,64,3877
9,clone-0,clone-1,2.032456,44,3870
9,clone-0,clone-2,1.999508,42,4045
9,clone-0,clone-3,1.881225,64,4106
9,clone-1,clone-0,2.103050,64,3877
9,clone-1,clone-1,1.779388,44,3870
9,clone-1,clone-2,1.907370,42,4045
9,clone-1,clone-3,2.011650,64,4106
9,clone-2,clone-0,2.058023,64,3877
9,clone-2,clone-1,1.949695,44,3870
9,clone-2,clone-2,1.812305,42,4045
9,clone-2,clone-3,1.972831,64,4106
9,clone-3,clone-0,1.926619,64,3877
9,clone-3,clone-1,2.021311,44,3870
9,clone-3,clone-2,1.991600,42,4045
9,clone-3,clone-3,1.760230,64,4106
