round,agent_i,agent_j,nll,n_prompts,n_tokens
0,clone-0,clone-0,2.081091,64,5065
0,clone-0,clone-1,2.534996,64,4858
0,clone-0,clone-2,2.315773,64,5106
0,clone-0,clone-3,2.146097,64,4685
0,clone-1,clone-0,2.142450,64,5065
0,clone-1,clone-1,2.245850,64,4858
0,clone-1,clone-2,2.166022,64,5106
0,clone-1,clone-3,2.130904,64,4685
0,clone-2,clone-0,2.128364,64,5065
0,clone-2,clone-1,2.339338,64,4858
0,clone-2,clone-2,2.085540,64,5106
0,clone-2,clone-3,2.122617,64,4685
0,clone-3,clone-0,2.142865,64,5065
0,clone-3,clone-1,2.527848,64,4858
0,clone-3,clone-2,2.313707,64,5106
0,clone-3,clone-3,2.080037,64,4685
9,clone-0,clone-0,1.545250,64,5451
9,clone-0,clone-1,1.971256,64,5041
9,clone-0,clone-2,1.961607,64,5247
9,clone-0,clone-3,1.867461,64,5301
9,clone-1,clone-0,1.864882,64,5451
9,clone-1,clone-1,1.555788,64,5041
9,clone-1,clone-2,1.818960,64,5247
9,clone-1,clone-3,1.948573,64,5301
9,clone-2,clone-0,1.867117,64,5451
9,clone-2,clone-1,1.833303,64,5041
9,clone-2,clone-2,1.572424,64,5247
9,clone-2,clone-3,1.963932,64,5301
9,clone-3,clone-0,1.813174,64,5451
9,clone-3,clone-1,2.011852,64,5041
9,clone-3,clone-2,1.995698,64,5247
9,clone-3,clone-3,1.605224,64,5301
19,clone-0,clone-0,1.431135,64,5353
19,clone-0,clone-1,1.912302,64,5034
19,clone-0,clone-2,1.940350,64,4893
19,clone-0,clone-3,1.869303,64,4913
19,clone-1,clone-0,1.898818,64,5353
19,clone-1,clone-1,1.438024,64,5034
19,clone-1,clone-2,1.693690,64,4893
19,clone-1,clone-3,1.952670,64,4913
19,clone-2,clone-0,1.899821,64,5353
19,clone-2,clone-1,1.728868,64,5034
19,clone-2,clone-2,1.427338,64,4893
19,clone-2,clone-3,1.972516,64,4913
19,clone-3,clone-0,1.761359,64,5353
19,clone-3,clone-1,1.895047,64,5034
19,clone-3,clone-2,1.919826,64,4893
19,clone-3,clone-3,1.567136,64,4913
29,clone-0,clone-0,1.367834,64,4692
29,clone-0,clone-1,2.010413,64,4904
29,clone-0,clone-2,1.952114,64,4954
29,clone-0,clone-3,1.776056,64,5306
29,clone-1,clone-0,1.859595,64,4692
29,clone-1,clone-1,1.445033,64,4904
29,clone-1,clone-2,1.699304,64,4954
29,clone-1,clone-3,1.969324,64,5306
29,clone-2,clone-0,1.887494,64,4692
29,clone-2,clone-1,1.792889,64,4904
29,clone-2,clone-2,1.376314,64,4954
29,clone-2,clone-3,1.969694,64,5306
29,clone-3,clone-0,1.690536,64,4692
29,clone-3,clone-1,2.052947,64,4904
29,clone-3,clone-2,1.978392,64,4954
29,clone-3,clone-3,1.456847,64,5306
39,clone-0,clone-0,1.372620,64,5251
39,clone-0,clone-1,1.993293,64,4725
39,clone-0,clone-2,1.991341,64,4892
39,clone-0,clone-3,1.836470,64,5527
39,clone-1,clone-0,1.881771,64,5251
39,clone-1,clone-1,1.320857,64,4725
39,clone-1,clone-2,1.608897,64,4892
39,clone-1,clone-3,2.062456,64,5527
39,clone-2,clone-0,1.890918,64,5251
39,clone-2,clone-1,1.669740,64,4725
39,clone-2,clone-2,1.371970,64,4892
39,clone-2,clone-3,2.059508,64,5527
39,clone-3,clone-0,1.703167,64,5251
39,clone-3,clone-1,1.967910,64,4725
39,clone-3,clone-2,1.954982,64,4892
39,clone-3,clone-3,1.477644,64,5527
