round,agent_i,agent_j,nll,n_prompts,n_tokens
0,clone-0,clone-0,2.024678,64,4473
0,clone-0,clone-1,2.420139,64,5006
0,clone-0,clone-2,2.459011,64,5173
0,clone-0,clone-3,2.193230,64,4877
0,clone-1,clone-0,2.088709,64,4473
0,clone-1,clone-1,2.183537,64,5006
0,clone-1,clone-2,2.295843,64,5173
0,clone-1,clone-3,2.175276,64,4877
0,clone-2,clone-0,2.082136,64,4473
0,clone-2,clone-1,2.260800,64,5006
0,clone-2,clone-2,2.224132,64,5173
0,clone-2,clone-3,2.172920,64,4877
0,clone-3,clone-0,2.098583,64,4473
0,clone-3,clone-1,2.424606,64,5006
0,clone-3,clone-2,2.460976,64,5173
0,clone-3,clone-3,2.119656,64,4877
9,clone-0,clone-0,1.632225,64,5433
9,clone-0,clone-1,2.175106,64,4560
9,clone-0,clone-2,1.943709,64,4767
9,clone-0,clone-3,1.855004,64,5472
9,clone-1,clone-0,1.967071,64,5433
9,clone-1,clone-1,1.635044,64,4560
9,clone-1,clone-2,1.759048,64,4767
9,clone-1,clone-3,1.904581,64,5472
9,clone-2,clone-0,1.965690,64,5433
9,clone-2,clone-1,1.932193,64,4560
9,clone-2,clone-2,1.512507,64,4767
9,clone-2,clone-3,1.893645,64,5472
9,clone-3,clone-0,1.866483,64,5433
9,clone-3,clone-1,2.128382,64,4560
9,clone-3,clone-2,1.905262,64,4767
9,clone-3,clone-3,1.605675,64,5472
19,clone-0,clone-0,1.492104,64,4830
19,clone-0,clone-1,1.950495,64,5308
19,clone-0,clone-2,1.996206,64,4700
19,clone-0,clone-3,1.916628,64,5451
19,clone-1,clone-0,1.921196,64,4830
19,clone-1,clone-1,1.454878,64,5308
19,clone-1,clone-2,1.804679,64,4700
19,clone-1,clone-3,2.034475,64,5451
19,clone-2,clone-0,1.923059,64,4830
19,clone-2,clone-1,1.720122,64,5308
19,clone-2,clone-2,1.520841,64,4700
19,clone-2,clone-3,2.032834,64,5451
19,clone-3,clone-0,1.830458,64,4830
19,clone-3,clone-1,1.937575,64,5308
19,clone-3,clone-2,2.003272,64,4700
19,clone-3,clone-3,1.644645,64,5451
29,clone-0,clone-0,1.398037,64,5361
29,clone-0,clone-1,2.006074,64,5095
29,clone-0,clone-2,2.021503,64,4363
29,clone-0,clone-3,1.788486,64,5877
29,clone-1,clone-0,1.852471,64,5361
29,clone-1,clone-1,1.504440,64,5095
29,clone-1,clone-2,1.807034,64,4363
29,clone-1,clone-3,1.958347,64,5877
29,clone-2,clone-0,1.845441,64,5361
29,clone-2,clone-1,1.828288,64,5095
29,clone-2,clone-2,1.430811,64,4363
29,clone-2,clone-3,1.983034,64,5877
29,clone-3,clone-0,1.686875,64,5361
29,clone-3,clone-1,1.996697,64,5095
29,clone-3,clone-2,1.988118,64,4363
29,clone-3,clone-3,1.473201,64,5877
39,clone-0,clone-0,1.322565,64,5014
39,clone-0,clone-1,1.906764,64,4912
39,clone-0,clone-2,1.898062,64,4891
39,clone-0,clone-3,1.876236,64,5108
39,clone-1,clone-0,1.877077,64,5014
39,clone-1,clone-1,1.345207,64,4912
39,clone-1,clone-2,1.587072,64,4891
39,clone-1,clone-3,2.045524,64,5108
39,clone-2,clone-0,1.885168,64,5014
39,clone-2,clone-1,1.654999,64,4912
39,clone-2,clone-2,1.292689,64,4891
39,clone-2,clone-3,2.044019,64,5108
39,clone-3,clone-0,1.694912,64,5014
39,clone-3,clone-1,1.911545,64,4912
39,clone-3,clone-2,1.933098,64,4891
39,clone-3,clone-3,1.404288,64,5108
