round,agent_i,agent_j,nll,n_prompts,n_tokens
0,clone-0,clone-0,2.102360,64,5926
0,clone-0,clone-1,2.408534,64,5260
0,clone-0,clone-2,2.393860,64,5228
0,clone-0,clone-3,2.215936,64,4849
0,clone-1,clone-0,2.161884,64,5926
0,clone-1,clone-1,2.164943,64,5260
0,clone-1,clone-2,2.254824,64,5228
0,clone-1,clone-3,2.189728,64,4849
0,clone-2,clone-0,2.165588,64,5926
0,clone-2,clone-1,2.245984,64,5260
0,clone-2,clone-2,2.185609,64,5228
0,clone-2,clone-3,2.191525,64,4849
0,clone-3,clone-0,2.167257,64,5926
0,clone-3,clone-1,2.409883,64,5260
0,clone-3,clone-2,2.391895,64,5228
0,clone-3,clone-3,2.137918,64,4849
9,clone-0,clone-0,1.618750,64,4473
9,clone-0,clone-1,2.049533,64,5129
9,clone-0,clone-2,1.959271,64,4905
9,clone-0,clone-3,1.910572,64,5403
9,clone-1,clone-0,1.926398,64,4473
9,clone-1,clone-1,1.649820,64,5129
9,clone-1,clone-2,1.797593,64,4905
9,clone-1,clone-3,1.928626,64,5403
9,clone-2,clone-0,1.900506,64,4473
9,clone-2,clone-1,1.859693,64,5129
9,clone-2,clone-2,1.539894,64,4905
9,clone-2,clone-3,1.934301,64,5403
9,clone-3,clone-0,1.884429,64,4473
9,clone-3,clone-1,2.049245,64,5129
9,clone-3,clone-2,1.950906,64,4905
9,clone-3,clone-3,1.646785,64,5403
19,clone-0,clone-0,1.451057,64,4601
19,clone-0,clone-1,1.994129,64,5313
19,clone-0,clone-2,1.937766,64,4469
19,clone-0,clone-3,1.805263,64,5821
19,clone-1,clone-0,1.884263,64,4601
19,clone-1,clone-1,1.544755,64,5313
19,clone-1,clone-2,1.772367,64,4469
19,clone-1,clone-3,1.933878,64,5821
19,clone-2,clone-0,1.888845,64,4601
19,clone-2,clone-1,1.799464,64,5313
19,clone-2,clone-2,1.437266,64,4469
19,clone-2,clone-3,1.943863,64,5821
19,clone-3,clone-0,1.783940,64,4601
19,clone-3,clone-1,1.998686,64,5313
19,clone-3,clone-2,1.958645,64,4469
19,clone-3,clone-3,1.465473,64,5821
29,clone-0,clone-0,1.383138,64,4918
29,clone-0,clone-1,1.975786,64,5029
29,clone-0,clone-2,2.073270,64,4952
29,clone-0,clone-3,1.720319,64,5102
29,clone-1,clone-0,1.920826,64,4918
29,clone-1,clone-1,1.410289,64,5029
29,clone-1,clone-2,1.855501,64,4952
29,clone-1,clone-3,1.944546,64,5102
29,clone-2,clone-0,1.910066,64,4918
29,clone-2,clone-1,1.768369,64,5029
29,clone-2,clone-2,1.529913,64,4952
29,clone-2,clone-3,1.906101,64,5102
29,clone-3,clone-0,1.743221,64,4918
29,clone-3,clone-1,1.997749,64,5029
29,clone-3,clone-2,2.080266,64,4952
29,clone-3,clone-3,1.378219,64,5102
39,clone-0,clone-0,1.413153,64,4639
39,clone-0,clone-1,1.836088,64,5362
39,clone-0,clone-2,1.921330,64,5393
39,clone-0,clone-3,1.701235,64,4731
39,clone-1,clone-0,1.974948,64,4639
39,clone-1,clone-1,1.279775,64,5362
39,clone-1,clone-2,1.687815,64,5393
39,clone-1,clone-3,1.904844,64,4731
39,clone-2,clone-0,1.961637,64,4639
39,clone-2,clone-1,1.621406,64,5362
39,clone-2,clone-2,1.319990,64,5393
39,clone-2,clone-3,1.915033,64,4731
39,clone-3,clone-0,1.796154,64,4639
39,clone-3,clone-1,1.874861,64,5362
39,clone-3,clone-2,1.958013,64,5393
39,clone-3,clone-3,1.302459,64,4731
